Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
81.947	17.6197	4.1338	0	0.2764	0.721	9637143.03	5291851.549
82.416	17.61746	4.1338	0	0.2764	0.721	10636720.66	5291455.342
82.884	17.61517	4.1338	0	0.2764	0.7209	10637134.35	5291117.104
83.311	17.61293	4.1337	0	0.2764	0.7209	10637495.46	5291020.334
83.772	17.6108	4.1338	0	0.2764	0.7209	12629987.69	5290771.869
84.217	17.6084	4.1338	0	0.2764	0.7209	12630271.94	5290322.528
84.851	17.60595	4.1338	0	0.2765	0.7209	10638510.69	5289927.73
85.305	17.60333	4.1338	0	0.2765	0.7209	10638773.44	5289782.235
85.761	17.60125	4.1338	0	0.2765	0.7209	9639752.57	5289570.38
86.219	17.59907	4.1338	0	0.2765	0.7209	8639808.108	5289348.003
86.674	17.59678	4.1338	0	0.2765	0.7208	9640703.26	5288938.572
87.188	17.59361	4.1337	0	0.2765	0.7208	9640983.29	5288635.601
87.617	17.59126	4.1337	0	0.2765	0.7208	10640455.68	5288399.325
88.268	17.58886	4.1338	0	0.2765	0.7208	10640953.55	5288156.735
88.722	17.5863	4.1338	0	0.2765	0.7208	10641344.3	5287758.212
89.177	17.58428	4.1338	0	0.2765	0.7208	10641662.24	5287446.427
89.633	17.58187	4.1338	0	0.2765	0.7208	10642053.18	5287326.898
90.089	17.5798	4.1338	0	0.2766	0.7207	10642438.02	5287071.746
90.545	17.57751	4.1338	0	0.2766	0.7207	10642728.56	5286797.979
91.001	17.57489	4.1338	0	0.2766	0.7207	10643067.6	5286454.023
91.457	17.5727	4.1338	0	0.2766	0.7207	10643414.72	5286034.977
91.912	17.57057	4.1338	0	0.2766	0.7207	10643892.78	5285893.31
92.594	17.56725	4.1338	0	0.2766	0.7207	10644277.25	5285523.306
93.049	17.56506	4.1338	0	0.2766	0.7207	10644716.33	5285297.662
93.551	17.56173	4.1338	0	0.2766	0.7207	10645102.64	5285010.375
93.999	17.55949	4.1338	0	0.2766	0.7206	11640220.32	5284695.67
94.642	17.55709	4.1338	0	0.2766	0.7206	11640858.98	5284375.412
95.097	17.55453	4.1337	0	0.2767	0.7206	10646061.7	5284275.264
95.552	17.55234	4.1338	0	0.2767	0.7206	10646368.73	5283802.971
96.008	17.55011	4.1338	0	0.2767	0.7206	10646739.91	5283549.782
96.464	17.54776	4.1338	0	0.2767	0.7206	9647846.86	5283406.393
96.921	17.54558	4.1337	0	0.2767	0.7206	9648199.09	5283078.62
97.376	17.54366	4.1337	0	0.2767	0.7206	10647773.67	5282892.232
97.832	17.54083	4.1338	0	0.2767	0.7205	10648330.47	5282204.441
98.514	17.5375	4.1338	0	0.2767	0.7205	10648655.92	5282241.262
98.97	17.53542	4.1338	0	0.2767	0.7205	10648807.03	5281996.958
99.425	17.53286	4.1338	0	0.2767	0.7205	10649246.26	5281703.57
99.88	17.53062	4.1338	0	0.2767	0.7205	10649795.19	5281306.649
100.389	17.5274	4.1338	0	0.2768	0.7205	10650160.47	5281059.386
101.019	17.52494	4.1338	0	0.2768	0.7205	10650486.88	5280780.003
101.474	17.52265	4.1338	0	0.2768	0.7204	10650839.79	5280503.033
101.93	17.52047	4.1338	0	0.2768	0.7204	10651105.23	5280194.011
102.386	17.51817	4.1338	0	0.2768	0.7204	10651417.15	5279763.417
102.843	17.51599	4.1338	0	0.2768	0.7204	10651742.09	5279750.292
103.299	17.51375	4.1338	0	0.2768	0.7204	10652284.09	5279531.618
103.82	17.51042	4.1339	0	0.2768	0.7204	10652632.32	5279091.541
104.438	17.50802	4.1338	0	0.2768	0.7204	10652965.77	5278752.402
104.893	17.50551	4.1338	0	0.2768	0.7204	10653295.92	5278548.919
105.348	17.50322	4.1338	0	0.2768	0.7203	10653537.5	5278322.746
105.804	17.50136	4.1338	0	0.2768	0.7203	10654092.18	5278073.005
106.319	17.49912	4.1338	0	0.2769	0.7203	10654433.68	5277554.671
106.942	17.49552	4.1338	0	0.2769	0.7203	10654835.64	5277322
107.397	17.4929	4.1338	0	0.2769	0.7203	10655193.43	5277218.122
107.852	17.49088	4.1338	0	0.2769	0.7203	10655469.13	5276978.153
108.309	17.48815	4.1338	0	0.2769	0.7203	10655798.6	5276653.054
108.766	17.4863	4.1338	0	0.2769	0.7203	10656190.45	5276190.982
109.221	17.484	4.1338	0	0.2769	0.7202	10656435.53	5276015.559
109.676	17.48149	4.1338	0	0.2769	0.7202	10656972.95	5275678.224
110.361	17.47838	4.1338	0	0.2769	0.7202	10657255.81	5275418.159
110.816	17.47603	4.1338	0	0.2769	0.7202	10657709.24	5275139.42
111.271	17.47363	4.1339	0	0.2769	0.7202	10658062.61	5274843.764
111.727	17.47139	4.1339	0	0.2769	0.7202	10658379.9	5274772.933
112.183	17.4691	4.1339	0	0.277	0.7202	10658682.91	5274498.304
112.639	17.46665	4.1338	0	0.277	0.7202	10659112.2	5274207.728
113.094	17.46457	4.1338	0	0.277	0.7201	10659387.88	5273779.285
113.549	17.46212	4.1338	0	0.277	0.7201	10659730.34	5273602.776
